epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2725,1.2968,4.2297,1.21351,0.00333,1,0.00624,0.00392,0.66676,4.03066,0.86678,0.00065,0.00065,0.00065
2,19.2619,1.47428,4.19935,1.27596,0.00267,0.8,0.00302,0.00183,2.82847,7.02909,1.65718,0.00125149,0.00125149,0.00125149
3,25.4737,1.89724,3.83973,1.52076,0.00267,0.8,0.00302,0.00183,2.82847,7.02909,1.65718,0.00178698,0.00178698,0.00178698
4,31.6472,1.98484,5.56841,1.64893,0.72643,1,0.86167,0.46559,1.48501,4.18376,1.25555,0.001703,0.001703,0.001703
5,37.8879,1.6495,5.96504,1.5143,0.75074,1,0.895,0.49994,1.62706,3.89802,1.31334,0.001604,0.001604,0.001604
6,43.9059,1.66794,7.9064,1.36812,0.75074,1,0.895,0.49994,1.62706,3.89802,1.31334,0.001505,0.001505,0.001505
7,50.103,1.69026,7.21015,1.68386,0.78366,1,0.895,0.49494,1.61343,4.02506,1.30151,0.001406,0.001406,0.001406
8,56.1518,1.68433,7.76709,1.38455,0.78366,1,0.895,0.49494,1.61343,4.02506,1.30151,0.001307,0.001307,0.001307
9,62.2218,1.58735,5.04132,1.22165,0.00267,0.8,0.02785,0.01223,1.54386,4.41162,1.22719,0.001208,0.001208,0.001208
10,68.3129,1.42772,4.60076,1.20728,0.00354,1,0.03527,0.02241,0.9497,3.88384,1.0219,0.001109,0.001109,0.001109
11,75.2112,1.53459,4.46064,1.21905,0.00354,1,0.03527,0.02241,0.9497,3.88384,1.0219,0.00101,0.00101,0.00101
12,81.5312,1.39739,3.81924,1.21981,0.37337,0.4,0.42204,0.2264,1.03655,3.28744,1.04368,0.000911,0.000911,0.000911
13,87.9443,1.24033,3.67826,1.17136,0.82678,0.96066,0.92833,0.64293,1.1068,2.64587,1.06052,0.000812,0.000812,0.000812
14,94.2211,1.22848,3.02358,1.10428,0.82678,0.96066,0.92833,0.64293,1.1068,2.64587,1.06052,0.000713,0.000713,0.000713
15,100.493,1.17764,2.98307,1.09631,0.8305,0.98301,0.96167,0.6613,0.99382,2.21111,1.02381,0.000614,0.000614,0.000614
16,106.845,1.07736,2.72478,1.05259,0.8305,0.98301,0.96167,0.6613,0.99382,2.21111,1.02381,0.000515,0.000515,0.000515
17,113.289,0.96259,2.51996,0.97433,0.82412,1,0.96167,0.72436,0.91833,1.81802,0.97983,0.000416,0.000416,0.000416
18,119.6,0.91999,2.28052,0.98709,0.99864,1,0.995,0.7985,0.90419,1.7533,0.94768,0.000317,0.000317,0.000317
19,125.897,0.93675,2.36541,0.9982,0.99864,1,0.995,0.7985,0.90419,1.7533,0.94768,0.000218,0.000218,0.000218
20,132.176,0.91983,2.39374,0.97137,0.99763,1,0.995,0.83956,0.90902,1.89328,0.94773,0.000119,0.000119,0.000119
